date,population,admission,release
6/20/2020,103813.5971,2473.364125,1079.906752
6/21/2020,104505.6017,1771.911328,975.9067524
6/22/2020,105261.6062,1731.911328,2737.378975
6/23/2020,104901.9794,2379.168806,2521.629371
6/24/2020,104844.4557,2471.930711,3763.954371
6/25/2020,104688.4321,3607.041822,2678.969255
6/26/2020,104621.4634,2613.500567,2266.125096
6/27/2020,104759.3655,2406.994694,1106.592563
6/28/2020,105437.101,1782.994694,1016.540374
6/29/2020,106053.1925,1631.631899,2628.823934
6/30/2020,105671.8138,2251.219757,2410.348444
7/1/2020,105661.7268,2400.261424,2737.413401
7/2/2020,105308.6295,2384.572535,2562.109205
7/3/2020,105052.9414,2306.42102,1269.942538
7/4/2020,105697.4198,1914.42102,958.9425385
7/5/2020,106622.2733,1883.79602,979.4425385
7/6/2020,107403.0499,1760.219097,2908.038498
7/7/2020,106709.6143,2214.602935,2669.718498
7/8/2020,106684.3487,2645.932935,2887.162784
7/9/2020,107732.5475,3934.361507,2736.218339
7/10/2020,107651.3573,2655.028173,2278.531471
7/11/2020,107752.1469,2379.730194,1020.340562
7/12/2020,108642.3366,1910.530194,1004.340562
7/13/2020,109367.5262,1728.580194,3367.901168
7/14/2020,108872.6401,2873.015042,2580.674245
7/15/2020,108944.6309,2653.655042,2843.780406
7/16/2020,108987.1695,2887.196056,2652.988504
7/17/2020,108831.6496,2500.301938,2523.821837
7/18/2020,108811.1297,2503.801938,1046.266282
7/19/2020,109679.4987,1914.135272,1032.585726
7/20/2020,110348.7705,1701.857494,3421.850703
7/21/2020,109884.268,2960.505727,1847.796615
7/22/2020,109876.7497,1841.711247,2590.134344
7/23/2020,109859.7552,2571.200424,3055.449279
7/24/2020,109756.4782,2953.672286,2011.949279
7/25/2020,109923.4234,2177.838952,1120.605262
7/26/2020,110783.3879,1981.319722,1086.330786
7/27/2020,111270.4433,1681.637903,2978.256777
7/28/2020,110566.2486,2273.187146,2575.25596
7/29/2020,110530.7272,2538.642996,2591.431242
7/30/2020,110443.0808,2505.602996,2566.142281
7/31/2020,110498.7915,2618.552996,2592.48871
8/1/2020,110529.3058,2624.377996,1148.86371
8/2/2020,111238.3201,1857.877996,1087.86371
8/3/2020,111968.8343,1818.377996,2910.71371
8/4/2020,111516.4153,2458.294662,2776.33871
8/5/2020,111326.3712,2585.319662,2583.122043
8/6/2020,111552.2939,2784.499208,2812.849316
8/7/2020,111426.7619,2687.317389,2604.182649
8/8/2020,111625.4724,2790.143147,1189.824316
8/9/2020,112394.9496,1955.422693,1133.990982
8/10/2020,113032.4268,1774.468147,2942.457649
8/11/2020,112708.1706,2615.368147,3317.760824
8/12/2020,112808.5255,3419.915766,2582.917966
8/13/2020,112892.9281,2667.320528,2727.366018
8/14/2020,112902.7462,2737.184164,2669.399352
8/15/2020,113010.5042,2777.157335,1177.454907
8/16/2020,114009.4844,2179.10178,1241.881574
8/17/2020,114712.1446,1951.54178,3092.75459
8/18/2020,114180.1541,2558.644604,2924.40551
8/19/2020,114206.1978,2952.227083,2712.326145
8/20/2020,114255.6702,2760.631845,2900.060421
8/21/2020,114476.5357,3022.049672,2673.172685
8/22/2020,114726.2678,2924.238134,1266.006019
8/23/2020,115689.9999,2230.238134,1318.206019
8/24/2020,116332.7987,1947.382578,3089.326595
8/25/2020,115950.9524,2709.080333,3035.659928
8/26/2020,116330.4395,3416.080333,2734.50469
8/27/2020,116374.8637,2778.928904,2798.715801
8/28/2020,116568.2435,2992.095571,2865.649134
8/29/2020,116633.0899,2928.095571,1220.849134
8/30/2020,117729.4363,2319.995571,1244.315801
8/31/2020,118615.2828,2130.162238,3287.982468
9/1/2020,118119.4625,2792.162238,3207.320632
9/2/2020,117839.4757,2935.217793,2958.623737
9/3/2020,117910.9953,3030.143349,3130.922892
9/4/2020,117775.49,2997.406034,3077.561264
9/5/2020,117706.5348,3009.506034,1282.461264
9/6/2020,118608.5796,2184.506034,1258.361264
9/7/2020,119255.9743,1905.756034,1162.031866
9/8/2020,120072.6052,1979.654499,3498.573602
9/9/2020,119389.6861,2815.654499,3254.006935
9/10/2020,118997.3337,2861.654499,3001.916531
9/11/2020,118928.7434,2931.883908,2871.916531
9/12/2020,118923.6531,2868.159549,1237.916531
9/13/2020,119904.7294,2217.126216,1212.172941
9/14/2020,120623.7545,1925.902906,3311.521559
9/15/2020,119998.3757,2687.042733,3044.254892
9/16/2020,119912.3302,2958.2094,3068.754892
9/17/2020,119671.7847,2828.2094,2973.290607
9/18/2020,119593.3106,2895.280828,2898.865149
9/19/2020,119523.9763,2829.530828,1218.865149
9/20/2020,120515.392,2211.030828,1230.515149
9/21/2020,121174.8986,1890.021737,3257.181816
9/22/2020,120596.2385,2678.521737,2993.25126
9/23/2020,120374.9534,2772.799515,2974.625937
9/24/2020,120095.9863,2699.141754,2960.879859
9/25/2020,119876.6427,2741.536325,2733.046526
9/26/2020,120077.1325,2933.536325,1272.546526
9/27/2020,120885.1223,2080.536325,1217.209316
9/28/2020,121535.6819,1867.078961,3540.212376
9/29/2020,120867.5748,2872.105276,2990.212376
9/30/2020,120634.4677,2757.105276,3213.99571
10/1/2020,120642.4606,3222.565533,3189.23214
10/2/2020,120315.3061,2870.46197,2685.25865
10/3/2020,120153.7592,2634.172431,1264.386011
